Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Alfter,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,51,,15,50.7371,7.0103
Bad Honnef,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,46,1,11,50.6495,7.2685
Bornheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,63,1,19,50.7664,6.9784
Eitorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,32,2,7,50.7662,7.4436
Hennef,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,56,,21,50.7764,7.2857
Königswinter,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,41,,6,50.6984,7.2434
Lohmar,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,43,,14,50.8625,7.2458
Meckenheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,59,1,15,50.6207,7.0199
Much,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,20,1,8,50.9,7.4189
Neunkirchen-Seelscheid,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,25,,12,50.853,7.3255
Niederkassel,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,29,,8,50.8198,7.046
Rheinbach,Germany/NRW Rhein-Sieg-Kreis,2020-03-17T11:00:00,32,,6,50.6111,6.9461
Ruppichteroth,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,9,,4,50.8393,7.4371
Sankt Augustin,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,102,3,13,50.7758,7.1912
Siegburg,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,55,,20,50.8025,7.2264
Swisttal,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,23,1,7,50.6814,6.908
Troisdorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,82,,16,50.8131,7.1336
Wachtberg,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,25,,7,50.6238,7.1167
Windeck,Germany/NRW Rhein-Sieg-Kreis,2020-04-06T11:00:00,6,,3,50.7888,7.573
