Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Alfter,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,48,,11,50.7371,7.0103
Bad Honnef,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,44,1,6,50.6495,7.2685
Bornheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,50,,16,50.7664,6.9784
Eitorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,30,,5,50.7662,7.4436
Hennef,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,53,,16,50.7764,7.2857
Königswinter,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,39,,6,50.6984,7.2434
Lohmar,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,40,,10,50.8625,7.2458
Meckenheim,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,51,1,8,50.6207,7.0199
Much,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,19,1,8,50.9,7.4189
Neunkirchen-Seelscheid,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,24,,12,50.853,7.3255
Niederkassel,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,28,,9,50.8198,7.046
Rheinbach,Germany/NRW Rhein-Sieg-Kreis,2020-03-17T11:00:00,30,,4,50.6111,6.9461
Ruppichteroth,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,9,,2,50.8393,7.4371
Sankt Augustin,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,73,2,11,50.7758,7.1912
Siegburg,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,53,,17,50.8025,7.2264
Swisttal,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,21,1,4,50.6814,6.908
Troisdorf,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,73,,11,50.8131,7.1336
Wachtberg,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,23,,5,50.6238,7.1167
Windeck,Germany/NRW Rhein-Sieg-Kreis,2020-04-03T11:00:00,6,,2,50.7888,7.573
