Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Alfter,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,44,,6,50.7371,7.0103
Bad Honnef,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,38,,3,50.6495,7.2685
Bornheim,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,46,,6,50.7664,6.9784
Eitorf,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,23,,,50.7662,7.4436
Hennef,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,48,,5,50.7764,7.2857
Königswinter,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,35,,1,50.6984,7.2434
Lohmar,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,35,,5,50.8625,7.2458
Meckenheim,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,40,1,3,50.6207,7.0199
Much,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,17,1,2,50.9,7.4189
Neunkirchen-Seelscheid,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,21,,5,50.853,7.3255
Niederkassel,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,24,,7,50.8198,7.046
Rheinbach,Germany/NRW Rhein-Sieg-Kreis,2020-03-17T11:00:00,23,,1,50.6111,6.9461
Ruppichteroth,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,9,,1,50.8393,7.4371
Sankt Augustin,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,33,,4,50.7758,7.1912
Siegburg,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,43,,10,50.8025,7.2264
Swisttal,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,20,,1,50.6814,6.908
Troisdorf,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,57,,7,50.8131,7.1336
Wachtberg,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,21,,4,50.6238,7.1167
Windeck,Germany/NRW Rhein-Sieg-Kreis,2020-03-31T11:00:00,4,,,50.7888,7.573
