Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-07T11:00:00,1275,,35,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-07T11:00:00,224,1,,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-07T11:00:00,330,11,,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-07T11:00:00,416,2,,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-07T11:00:00,681,,15,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-07T11:00:00,66,2,,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-07T11:00:00,409,6,,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-07T11:00:00,425,3,,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-07T11:00:00,440,3,,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-07T11:00:00,352,12,,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-07T11:00:00,586,5,,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-07T11:00:00,263,1,,51.351,7.306
Essen,Germany/NRW,2020-04-07T11:00:00,515,13,,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-07T11:00:00,217,1,,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-07T11:00:00,194,4,,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-07T11:00:00,486,5,,51.9045,8.3771
Hagen,Germany/NRW,2020-04-07T11:00:00,119,2,,51.3546,7.4652
Hamm,Germany/NRW,2020-04-07T11:00:00,251,4,,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-07T11:00:00,1464,46,,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-07T11:00:00,241,1,,52.1158,8.671
Herne,Germany/NRW,2020-04-07T11:00:00,72,,,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-07T11:00:00,396,2,,51.3495,8.2823
Höxter,Germany/NRW,2020-04-07T11:00:00,152,1,,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-07T11:00:00,304,4,,51.7846,6.1312
Köln,Germany/NRW,2020-04-07T11:00:00,1.777,32,,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-07T11:00:00,269,1,,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-07T11:00:00,155,2,,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-07T11:00:00,496,5,,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-07T11:00:00,167,2,,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-07T11:00:00,585,13,,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-07T11:00:00,410,1,,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-07T11:00:00,296,5,,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-07T11:00:00,106,6,,51.43,6.8781
Münster,Germany/NRW,2020-04-07T11:00:00,586,3,,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-07T11:00:00,306,2,,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-07T11:00:00,114,,,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-07T11:00:00,228,4,,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-07T11:00:00,396,8,,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-07T11:00:00,547,3,,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-07T11:00:00,99,2,,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-07T11:00:00,592,12,,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-07T11:00:00,281,3,,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-07T11:00:00,489,6,,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-07T11:00:00,789,8,,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-07T11:00:00,182,4,,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-07T11:00:00,235,1,,51.567,8.113
Solingen,Germany/NRW,2020-04-07T11:00:00,144,1,,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-07T11:00:00,702,12,,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-07T11:00:00,365,8,,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-07T11:00:00,406,10,,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-07T11:00:00,347,3,,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-07T11:00:00,285,3,,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-07T11:00:00,350,8,,51.2628,7.1727
