Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-11T11:00:00,1465,48,826,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-11T11:00:00,285,1,122,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-11T11:00:00,365,12,219,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-11T11:00:00,484,2,116,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-11T11:00:00,765,19,350,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-11T11:00:00,85,3,37,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-11T11:00:00,451,11,216,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-11T11:00:00,527,3,238,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-11T11:00:00,539,7,269,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-11T11:00:00,441,13,204,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-11T11:00:00,750,9,316,51.2224,6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-11T11:00:00,313,3,171,51.351,7.306
Essen,Germany/NRW,2020-04-11T11:00:00,606,22,288,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-11T11:00:00,253,5,103,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-11T11:00:00,238,4,47,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-11T11:00:00,531,9,305,51.9045,8.3771
Hagen,Germany/NRW,2020-04-11T11:00:00,141,2,73,51.3546,7.4652
Hamm,Germany/NRW,2020-04-11T11:00:00,302,8,123,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-11T11:00:00,1552,50,1015,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-11T11:00:00,275,3,118,52.1158,8.671
Herne,Germany/NRW,2020-04-11T11:00:00,93,,47,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-11T11:00:00,428,7,200,51.3495,8.2823
Höxter,Germany/NRW,2020-04-11T11:00:00,167,1,57,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-11T11:00:00,401,8,159,51.7846,6.1312
Köln,Germany/NRW,2020-04-11T11:00:00,1957,43,1150,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-11T11:00:00,321,5,194,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-11T11:00:00,161,2,75,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-11T11:00:00,546,8,159,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-11T11:00:00,290,8,59,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-11T11:00:00,805,24,344,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-11T11:00:00,463,3,235,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-11T11:00:00,364,15,173,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-11T11:00:00,131,4,73,51.43,6.8781
Münster,Germany/NRW,2020-04-11T11:00:00,606,7,412,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-11T11:00:00,362,7,186,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-11T11:00:00,141,,50,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-11T11:00:00,389,12,153,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-11T11:00:00,470,10,73,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-11T11:00:00,669,5,383,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-11T11:00:00,144,2,61,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-11T11:00:00,761,22,230,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-11T11:00:00,333,3,185,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-11T11:00:00,523,9,326,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-11T11:00:00,909,18,375,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-11T11:00:00,200,4,70,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-11T11:00:00,293,2,151,51.567,8.113
Solingen,Germany/NRW,2020-04-11T11:00:00,176,2,69,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-11T11:00:00,946,17,357,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-11T11:00:00,458,12,178,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-11T11:00:00,479,14,136,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-11T11:00:00,376,3,264,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-11T11:00:00,382,7,247,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-11T11:00:00,539,16,189,51.2628,7.1727

