Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-08T11:00:00,1359,36,662,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-08T11:00:00,233,1,101,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-08T11:00:00,335,12,169,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-08T11:00:00,517,2,104,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-08T11:00:00,699,16,281,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-08T11:00:00,71,3,27,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-08T11:00:00,417,9,176,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-08T11:00:00,483,3,212,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-08T11:00:00,450,3,201,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-08T11:00:00,366,12,174,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-08T11:00:00,649,7,241,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-08T11:00:00,280,3,111,51.351,7.306
Essen,Germany/NRW,2020-04-08T11:00:00,555,20,238,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-08T11:00:00,219,2,79,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-08T11:00:00,210,4,36,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-08T11:00:00,504,9,266,51.9045,8.3771
Hagen,Germany/NRW,2020-04-08T11:00:00,122,2,66,51.3546,7.4652
Hamm,Germany/NRW,2020-04-08T11:00:00,263,4,86,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-08T11:00:00,1476,47,863,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-08T11:00:00,251,1,84,52.1158,8.671
Herne,Germany/NRW,2020-04-08T11:00:00,78,,43,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-08T11:00:00,403,3,166,51.3495,8.2823
Höxter,Germany/NRW,2020-04-08T11:00:00,154,1,40,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-08T11:00:00,312,5,131,51.7846,6.1312
Köln,Germany/NRW,2020-04-08T11:00:00,1815,34,934,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-08T11:00:00,292,2,135,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-08T11:00:00,158,2,63,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-08T11:00:00,509,7,130,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-08T11:00:00,230,4,51,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-08T11:00:00,615,14,250,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-08T11:00:00,430,3,200,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-08T11:00:00,304,10,138,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-08T11:00:00,108,3,54,51.43,6.8781
Münster,Germany/NRW,2020-04-08T11:00:00,595,4,367,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-08T11:00:00,327,6,127,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-08T11:00:00,117,,41,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-08T11:00:00,264,8,128,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-08T11:00:00,411,8,60,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-08T11:00:00,581,5,298,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-08T11:00:00,108,2,50,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-08T11:00:00,634,15,193,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-08T11:00:00,294,3,151,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-08T11:00:00,491,6,280,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-08T11:00:00,799,10,212,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-08T11:00:00,188,4,42,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-08T11:00:00,260,2,111,51.567,8.113
Solingen,Germany/NRW,2020-04-08T11:00:00,151,1,62,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-08T11:00:00,757,15,266,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-08T11:00:00,377,8,117,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-08T11:00:00,411,11,108,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-08T11:00:00,351,3,226,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-08T11:00:00,303,3,163,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-08T11:00:00,383,10,122,51.2628,7.1727
