Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-15T11:00:00,1557,52,949,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-15T11:00:00,294,1,170,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-15T11:00:00,387,13,261,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-15T11:00:00,539,4,133,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-15T11:00:00,793,23,436,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-15T11:00:00,99,4,44,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-15T11:00:00,462,13,250,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-15T11:00:00,572,3,304,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-15T11:00:00,605,9,341,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-15T11:00:00,466,15,221,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-15T11:00:00,805,13,441,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-15T11:00:00,331,8,202,51.351,7.306
Essen,Germany/NRW,2020-04-15T11:00:00,629,26,343,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-15T11:00:00,279,8,,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-15T11:00:00,253,6,113,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-15T11:00:00,553,15,350,51.9045,8.3771
Hagen,Germany/NRW,2020-04-15T11:00:00,172,2,93,51.3546,7.4652
Hamm,Germany/NRW,2020-04-15T11:00:00,339,12,148,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-15T11:00:00,1580,52,1054,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-15T11:00:00,293,4,146,52.1158,8.671
Herne,Germany/NRW,2020-04-15T11:00:00,106,1,50,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-15T11:00:00,520,11,278,51.3495,8.2823
Höxter,Germany/NRW,2020-04-15T11:00:00,233,1,94,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-15T11:00:00,434,11,200,51.7846,6.1312
Köln,Germany/NRW,2020-04-15T11:00:00,2086,58,1515,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-15T11:00:00,335,8,244,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-15T11:00:00,170,3,108,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-15T11:00:00,584,16,203,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-15T11:00:00,380,8,148,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-15T11:00:00,874,38,439,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-15T11:00:00,376,3,240,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-15T11:00:00,380,17,203,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-15T11:00:00,131,4,82,51.43,6.8781
Münster,Germany/NRW,2020-04-15T11:00:00,621,7,457,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-15T11:00:00,621,9,226,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-15T11:00:00,147,,65,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-15T11:00:00,431,14,200,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-15T11:00:00,508,19,128,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-15T11:00:00,728,6,453,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-15T11:00:00,153,3,73,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-15T11:00:00,802,32,294,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-15T11:00:00,380,4,212,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-15T11:00:00,530,12,413,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-15T11:00:00,970,18,389,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-15T11:00:00,239,6,90,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-15T11:00:00,315,3,192,51.567,8.113
Solingen,Germany/NRW,2020-04-15T11:00:00,193,3,94,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-15T11:00:00,1007,27,437,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-15T11:00:00,495,19,203,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-15T11:00:00,497,20,152,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-15T11:00:00,408,5,290,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-15T11:00:00,410,10,265,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-15T11:00:00,585,22,250,51.2628,7.1727
