Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-10T11:00:00,1465,48,826,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-10T11:00:00,276,1,122,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-10T11:00:00,348,12,203,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-10T11:00:00,474,2,116,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-10T11:00:00,753,19,323,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-10T11:00:00,82,3,32,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-10T11:00:00,439,11,211,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-10T11:00:00,507,3,231,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-10T11:00:00,525,6,241,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-10T11:00:00,420,12,197,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-10T11:00:00,743,9,316,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-10T11:00:00,309,3,170,51.351,7.306
Essen,Germany/NRW,2020-04-10T11:00:00,593,21,269,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-10T11:00:00,236,5,92,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-10T11:00:00,181,4,43,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-10T11:00:00,531,9,305,51.9045,8.3771
Hagen,Germany/NRW,2020-04-10T11:00:00,135,2,70,51.3546,7.4652
Hamm,Germany/NRW,2020-04-10T11:00:00,284,6,109,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-10T11:00:00,1537,48,974,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-10T11:00:00,267,3,118,52.1158,8.671
Herne,Germany/NRW,2020-04-10T11:00:00,90,,47,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-10T11:00:00,428,7,200,51.3495,8.2823
Höxter,Germany/NRW,2020-04-10T11:00:00,167,1,57,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-10T11:00:00,335,6,159,51.7846,6.1312
Köln,Germany/NRW,2020-04-10T11:00:00,1912,39,1083,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-10T11:00:00,315,5,182,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-10T11:00:00,84,2,75,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-10T11:00:00,546,8,159,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-10T11:00:00,264,4,54,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-10T11:00:00,775,22,328,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-10T11:00:00,463,3,235,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-10T11:00:00,344,15,173,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-10T11:00:00,128,4,73,51.43,6.8781
Münster,Germany/NRW,2020-04-10T11:00:00,606,7,411,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-10T11:00:00,362,7,186,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-10T11:00:00,134,,50,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-10T11:00:00,333,9,138,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-10T11:00:00,446,10,73,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-10T11:00:00,659,4,348,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-10T11:00:00,129,2,61,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-10T11:00:00,482,21,213,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-10T11:00:00,316,3,168,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-10T11:00:00,517,9,326,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-10T11:00:00,866,15,319,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-10T11:00:00,200,4,70,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-10T11:00:00,283,2,141,51.567,8.113
Solingen,Germany/NRW,2020-04-10T11:00:00,161,2,69,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-10T11:00:00,900,17,333,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-10T11:00:00,438,12,178,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-10T11:00:00,469,14,136,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-10T11:00:00,367,3,251,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-10T11:00:00,362,6,247,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-10T11:00:00,513,12,189,51.2628,7.1727
