Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-04T11:00:00,1210,27,,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-04T11:00:00,205,1,,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-04T11:00:00,301,10,,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-04T11:00:00,370,3,,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-04T11:00:00,609,9,,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-04T11:00:00,55,1,,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-04T11:00:00,375,7,,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-04T11:00:00,380,1,,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-04T11:00:00,379,2,,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-04T11:00:00,335,9,,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-04T11:00:00,543,4,,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-04T11:00:00,229,1,,51.351,7.306
Essen,Germany/NRW,2020-04-04T11:00:00,481,9,,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-04T11:00:00,165,2,,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-04T11:00:00,159,2,,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-04T11:00:00,446,3,,51.9045,8.3771
Hagen,Germany/NRW,2020-04-04T11:00:00,96,2,,51.3546,7.4652
Hamm,Germany/NRW,2020-04-04T11:00:00,217,4,,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-04T11:00:00,1432,40,,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-04T11:00:00,213,1,,52.1158,8.671
Herne,Germany/NRW,2020-04-04T11:00:00,68,,,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-04T11:00:00,346,1,,51.3495,8.2823
Höxter,Germany/NRW,2020-04-04T11:00:00,99,1,,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-04T11:00:00,285,3,,51.7846,6.1312
Köln,Germany/NRW,2020-04-04T11:00:00,1694,26,,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-04T11:00:00,264,1,,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-04T11:00:00,146,1,,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-04T11:00:00,429,3,,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-04T11:00:00,175,3,,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-04T11:00:00,484,9,,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-04T11:00:00,385,1,,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-04T11:00:00,250,1,,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-04T11:00:00,96,2,,51.43,6.8781
Münster,Germany/NRW,2020-04-04T11:00:00,537,2,,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-04T11:00:00,303,2,,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-04T11:00:00,91,,,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-04T11:00:00,193,2,,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-04T11:00:00,338,5,,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-04T11:00:00,490,1,,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-04T11:00:00,89,1,,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-04T11:00:00,514,7,,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-04T11:00:00,236,3,,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-04T11:00:00,425,6,,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-04T11:00:00,675,3,,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-04T11:00:00,140,2,,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-04T11:00:00,220,1,,51.567,8.113
Solingen,Germany/NRW,2020-04-04T11:00:00,132,1,,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-04T11:00:00,574,5,,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-04T11:00:00,282,3,,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-04T11:00:00,353,7,,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-04T11:00:00,341,2,,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-04T11:00:00,267,2,,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-04T11:00:00,284,5,,51.2628,7.1727
