Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-14T11:00:00,1547,51,922,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-14T11:00:00,294,1,122,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-14T11:00:00,385,13,256,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-14T11:00:00,530,4,133,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-14T11:00:00,790,24,391,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-14T11:00:00,92,3,43,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-14T11:00:00,458,12,247,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-14T11:00:00,560,3,285,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-14T11:00:00,590,9,331,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-14T11:00:00,466,15,213,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-14T11:00:00,788,13,390,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-14T11:00:00,326,6,198,51.351,7.306
Essen,Germany/NRW,2020-04-14T11:00:00,623,26,326,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-14T11:00:00,279,8,,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-14T11:00:00,251,5,52,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-14T11:00:00,551,13,350,51.9045,8.3771
Hagen,Germany/NRW,2020-04-14T11:00:00,172,2,88,51.3546,7.4652
Hamm,Germany/NRW,2020-04-14T11:00:00,323,11,140,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-14T11:00:00,1577,52,1046,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-14T11:00:00,290,4,126,52.1158,8.671
Herne,Germany/NRW,2020-04-14T11:00:00,102,,50,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-14T11:00:00,513,11,250,51.3495,8.2823
Höxter,Germany/NRW,2020-04-14T11:00:00,223,1,77,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-14T11:00:00,425,9,195,51.7846,6.1312
Köln,Germany/NRW,2020-04-14T11:00:00,2060,56,1515,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-14T11:00:00,326,7,238,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-14T11:00:00,167,2,76,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-14T11:00:00,584,12,191,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-14T11:00:00,367,8,64,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-14T11:00:00,860,32,407,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-14T11:00:00,482,3,256,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-14T11:00:00,378,17,198,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-14T11:00:00,131,4,78,51.43,6.8781
Münster,Germany/NRW,2020-04-14T11:00:00,616,7,412,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-14T11:00:00,386,9,226,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-14T11:00:00,145,,64,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-14T11:00:00,427,14,187,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-14T11:00:00,490,14,128,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-14T11:00:00,714,5,423,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-14T11:00:00,150,2,68,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-14T11:00:00,792,32,253,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-14T11:00:00,376,4,208,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-14T11:00:00,530,11,390,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-14T11:00:00,970,18,389,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-14T11:00:00,212,6,73,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-14T11:00:00,314,3,180,51.567,8.113
Solingen,Germany/NRW,2020-04-14T11:00:00,193,2,94,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-14T11:00:00,1005,25,409,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-14T11:00:00,493,17,193,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-14T11:00:00,495,18,136,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-14T11:00:00,405,5,283,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-14T11:00:00,404,10,257,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-14T11:00:00,579,22,240,51.2628,7.1727
