Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-17T14:00:00,1623,59,1058,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-17T14:00:00,336,1,176,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-17T14:00:00,397,15,270,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-17T14:00:00,552,4,332,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-17T14:00:00,822,26,500,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-17T14:00:00,105,5,51,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-17T14:00:00,473,13,319,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-17T14:00:00,583,3,360,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-17T14:00:00,636,9,367,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-17T14:00:00,499,17,263,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-17T14:00:00,858,14,485,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-17T14:00:00,345,8,212,51.351,7.306
Essen,Germany/NRW,2020-04-17T14:00:00,657,28,371,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-17T14:00:00,299,8,139,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-17T14:00:00,265,9,115,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-17T14:00:00,563,14,382,51.9045,8.3771
Hagen,Germany/NRW,2020-04-17T14:00:00,189,2,103,51.3546,7.4652
Hamm,Germany/NRW,2020-04-17T14:00:00,354,14,152,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-17T14:00:00,1615,55,1175,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-17T14:00:00,299,5,191,52.1158,8.671
Herne,Germany/NRW,2020-04-17T14:00:00,119,1,60,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-17T14:00:00,536,12,295,51.3495,8.2823
Höxter,Germany/NRW,2020-04-17T14:00:00,243,1,115,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-17T14:00:00,447,13,234,51.7846,6.1312
Köln,Germany/NRW,2020-04-17T14:00:00,2130,63,1922,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-17T14:00:00,373,9,260,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-17T14:00:00,174,3,119,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-17T14:00:00,597,19,303,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-17T14:00:00,421,12,169,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-17T14:00:00,913,43,486,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-17T14:00:00,386,3,255,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-17T14:00:00,403,23,224,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-17T14:00:00,136,4,90,51.43,6.8781
Münster,Germany/NRW,2020-04-17T14:00:00,625,7,493,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-17T14:00:00,402,10,246,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-17T14:00:00,157,,77,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-17T14:00:00,473,16,235,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-17T14:00:00,523,22,131,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-17T14:00:00,794,7,500,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-17T14:00:00,189,4,92,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-17T14:00:00,822,33,321,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-17T14:00:00,391,8,230,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-17T14:00:00,529,13,428,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-17T14:00:00,995,24,493,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-17T14:00:00,256,6,105,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-17T14:00:00,322,3,207,51.567,8.113
Solingen,Germany/NRW,2020-04-17T14:00:00,207,3,115,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-17T14:00:00,1053,41,488,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-17T14:00:00,532,22,249,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-17T14:00:00,509,22,201,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-17T14:00:00,422,7,302,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-17T14:00:00,426,14,272,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-17T14:00:00,632,31,285,51.2628,7.1727
