Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-12T11:00:00,1508,50,854,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-12T11:00:00,291,1,122,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-12T11:00:00,381,12,242,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-12T11:00:00,504,2,118,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-12T11:00:00,770,21,373,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-12T11:00:00,87,3,39,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-12T11:00:00,454,11,216,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-12T11:00:00,538,3,256,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-12T11:00:00,549,8,294,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-12T11:00:00,447,13,208,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-12T11:00:00,760,9,362,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-12T11:00:00,323,4,180,51.351,7.306
Essen,Germany/NRW,2020-04-12T11:00:00,611,22,304,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-12T11:00:00,271,6,103,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-12T11:00:00,238,4,49,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-12T11:00:00,544,12,319,51.9045,8.3771
Hagen,Germany/NRW,2020-04-12T11:00:00,162,2,83,51.3546,7.4652
Hamm,Germany/NRW,2020-04-12T11:00:00,311,9,127,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-12T11:00:00,1573,51,1041,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-12T11:00:00,282,3,121,52.1158,8.671
Herne,Germany/NRW,2020-04-12T11:00:00,97,,47,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-12T11:00:00,498,8,244,51.3495,8.2823
Höxter,Germany/NRW,2020-04-12T11:00:00,189,1,69,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-12T11:00:00,421,8,180,51.7846,6.1312
Köln,Germany/NRW,2020-04-12T11:00:00,2002,44,1186,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-12T11:00:00,323,5,205,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-12T11:00:00,166,2,76,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-12T11:00:00,571,9,191,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-12T11:00:00,335,8,64,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-12T11:00:00,831,26,377,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-12T11:00:00,477,3,251,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-12T11:00:00,367,16,192,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-12T11:00:00,131,4,77,51.43,6.8781
Münster,Germany/NRW,2020-04-12T11:00:00,609,7,412,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-12T11:00:00,362,7,186,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-12T11:00:00,141,,57,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-12T11:00:00,400,12,170,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-12T11:00:00,476,12,73,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-12T11:00:00,669,5,383,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-12T11:00:00,148,2,64,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-12T11:00:00,761,22,230,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-12T11:00:00,346,3,189,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-12T11:00:00,530,10,368,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-12T11:00:00,923,18,378,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-12T11:00:00,212,6,73,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-12T11:00:00,310,2,163,51.567,8.113
Solingen,Germany/NRW,2020-04-12T11:00:00,183,2,91,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-12T11:00:00,961,24,374,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-12T11:00:00,477,15,178,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-12T11:00:00,487,14,136,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-12T11:00:00,379,3,274,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-12T11:00:00,391,8,251,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-12T11:00:00,556,17,212,51.2628,7.1727
