Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-20T11:30:00,1632,63,1201,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-20T11:30:00,338,2,214,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-20T11:30:00,400,15,290,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-20T11:30:00,573,5,355,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-20T11:30:00,835,26,556,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-20T11:30:00,112,5,54,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-20T11:30:00,474,16,333,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-20T11:30:00,600,5,393,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-20T11:30:00,632,9,428,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-20T11:30:00,511,23,296,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-20T11:30:00,909,14,572,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-20T11:30:00,357,7,253,51.351,7.306
Essen,Germany/NRW,2020-04-20T11:30:00,540,28,395,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-20T11:30:00,308,11,140,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-20T11:30:00,246,8,130,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-20T11:30:00,517,15,407,51.9045,8.3771
Hagen,Germany/NRW,2020-04-20T11:30:00,199,5,114,51.3546,7.4652
Hamm,Germany/NRW,2020-04-20T11:30:00,379,21,180,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-20T11:30:00,1684,53,1255,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-20T11:30:00,292,2,165,52.1158,8.671
Herne,Germany/NRW,2020-04-20T11:30:00,130,1,67,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-20T11:30:00,549,13,317,51.3495,8.2823
Höxter,Germany/NRW,2020-04-20T11:30:00,254,3,116,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-20T11:30:00,497,14,255,51.7846,6.1312
Köln,Germany/NRW,2020-04-20T11:30:00,2180,58,1647,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-20T11:30:00,367,8,276,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-20T11:30:00,176,3,124,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-20T11:30:00,604,18,335,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-20T11:30:00,463,16,191,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-20T11:30:00,766,46,552,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-20T11:30:00,396,4,262,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-20T11:30:00,422,25,243,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-20T11:30:00,141,4,97,51.43,6.8781
Münster,Germany/NRW,2020-04-20T11:30:00,610,8,503,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-20T11:30:00,394,10,254,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-20T11:30:00,158,1,93,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-20T11:30:00,483,18,261,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-20T11:30:00,524,22,182,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-20T11:30:00,814,10,531,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-20T11:30:00,196,3,106,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-20T11:30:00,867,40,398,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-20T11:30:00,397,6,236,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-20T11:30:00,540,16,444,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-20T11:30:00,1025,22,628,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-20T11:30:00,246,6,105,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-20T11:30:00,332,4,223,51.567,8.113
Solingen,Germany/NRW,2020-04-20T11:30:00,203,3,131,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-20T11:30:00,1096,43,531,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-20T11:30:00,511,17,253,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-20T11:30:00,498,25,236,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-20T11:30:00,421,7,309,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-20T11:30:00,437,14,288,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-20T11:30:00,700,36,309,51.2628,7.1727
