Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-13T11:00:00,1532,51,906,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-13T11:00:00,292,1,122,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-13T11:00:00,383,12,248,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-13T11:00:00,518,4,128,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-13T11:00:00,783,24,373,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-13T11:00:00,88,3,39,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-13T11:00:00,458,12,216,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-13T11:00:00,547,3,256,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-13T11:00:00,571,9,294,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-13T11:00:00,460,15,208,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-13T11:00:00,771,10,362,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-13T11:00:00,326,5,180,51.351,7.306
Essen,Germany/NRW,2020-04-13T11:00:00,616,25,304,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-13T11:00:00,272,6,103,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-13T11:00:00,247,4,49,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-13T11:00:00,545,13,319,51.9045,8.3771
Hagen,Germany/NRW,2020-04-13T11:00:00,169,2,83,51.3546,7.4652
Hamm,Germany/NRW,2020-04-13T11:00:00,321,10,127,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-13T11:00:00,1577,51,1041,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-13T11:00:00,283,4,121,52.1158,8.671
Herne,Germany/NRW,2020-04-13T11:00:00,100,,47,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-13T11:00:00,510,9,244,51.3495,8.2823
Höxter,Germany/NRW,2020-04-13T11:00:00,211,1,69,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-13T11:00:00,422,8,180,51.7846,6.1312
Köln,Germany/NRW,2020-04-13T11:00:00,2025,48,1186,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-13T11:00:00,327,5,205,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-13T11:00:00,167,2,76,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-13T11:00:00,571,9,191,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-13T11:00:00,335,8,64,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-13T11:00:00,843,27,377,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-13T11:00:00,477,3,251,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-13T11:00:00,374,16,192,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-13T11:00:00,131,4,77,51.43,6.8781
Münster,Germany/NRW,2020-04-13T11:00:00,609,7,412,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-13T11:00:00,587,9,186,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-13T11:00:00,144,,57,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-13T11:00:00,422,14,170,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-13T11:00:00,484,13,73,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-13T11:00:00,669,5,383,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-13T11:00:00,149,2,64,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-13T11:00:00,792,31,230,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-13T11:00:00,364,3,189,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-13T11:00:00,536,11,368,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-13T11:00:00,938,18,378,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-13T11:00:00,212,6,73,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-13T11:00:00,311,2,163,51.567,8.113
Solingen,Germany/NRW,2020-04-13T11:00:00,187,2,91,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-13T11:00:00,983,24,374,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-13T11:00:00,488,16,178,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-13T11:00:00,489,15,136,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-13T11:00:00,401,4,274,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-13T11:00:00,396,9,251,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-13T11:00:00,571,18,212,51.2628,7.1727
