Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-09T11:00:00,1410,41,699,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-09T11:00:00,257,1,103,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-09T11:00:00,342,12,195,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-09T11:00:00,447,2,111,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-09T11:00:00,722,17,308,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-09T11:00:00,78,3,30,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-09T11:00:00,431,9,198,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-09T11:00:00,497,3,220,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-09T11:00:00,502,4,220,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-09T11:00:00,386,12,184,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-09T11:00:00,678,7,280,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-09T11:00:00,289,3,119,51.351,7.306
Essen,Germany/NRW,2020-04-09T11:00:00,555,20,238,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-09T11:00:00,229,4,81,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-09T11:00:00,212,4,39,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-09T11:00:00,522,9,288,51.9045,8.3771
Hagen,Germany/NRW,2020-04-09T11:00:00,125,2,68,51.3546,7.4652
Hamm,Germany/NRW,2020-04-09T11:00:00,274,5,99,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-09T11:00:00,1513,48,921,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-09T11:00:00,258,1,110,52.1158,8.671
Herne,Germany/NRW,2020-04-09T11:00:00,86,,43,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-09T11:00:00,414,3,186,51.3495,8.2823
Höxter,Germany/NRW,2020-04-09T11:00:00,157,1,52,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-09T11:00:00,332,6,138,51.7846,6.1312
Köln,Germany/NRW,2020-04-09T11:00:00,1866,36,983,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-09T11:00:00,305,5,147,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-09T11:00:00,160,2,63,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-09T11:00:00,526,8,144,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-09T11:00:00,241,4,50,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-09T11:00:00,657,14,278,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-09T11:00:00,443,3,217,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-09T11:00:00,321,13,145,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-09T11:00:00,114,4,62,51.43,6.8781
Münster,Germany/NRW,2020-04-09T11:00:00,598,6,386,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-09T11:00:00,354,7,172,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-09T11:00:00,125,,49,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-09T11:00:00,283,8,132,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-09T11:00:00,437,10,59,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-09T11:00:00,610,4,332,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-09T11:00:00,113,2,56,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-09T11:00:00,451,18,193,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-09T11:00:00,305,3,164,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-09T11:00:00,496,8,301,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-09T11:00:00,829,12,268,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-09T11:00:00,194,4,51,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-09T11:00:00,265,2,129,51.567,8.113
Solingen,Germany/NRW,2020-04-09T11:00:00,160,2,68,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-09T11:00:00,810,16,287,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-09T11:00:00,403,9,147,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-09T11:00:00,430,11,111,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-09T11:00:00,362,3,241,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-09T11:00:00,319,3,172,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-09T11:00:00,422,11,154,51.2628,7.1727
