Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aachen & Städteregion Aachen,Germany/NRW,2020-04-19T00:00:00,1693,62,1159,50.776418511,6.083679199
Bielefeld,Germany/NRW,2020-04-19T00:00:00,345,2,210,52.028204774,8.535003662
Bochum,Germany/NRW,2020-04-19T00:00:00,402,15,281,51.478389448,7.217330933
Bonn,Germany/NRW,2020-04-19T00:00:00,570,4,349,50.736455137,7.101974487
Borken (Kreis),Germany/NRW,2020-04-19T00:00:00,839,28,556,51.84432,6.85824
Bottrop,Germany/NRW,2020-04-19T00:00:00,113,5,54,51.5216,6.9289
Coesfeld (Kreis),Germany/NRW,2020-04-19T00:00:00,480,13,333,51.9489, 7.17
Dortmund,Germany/NRW,2020-04-19T00:00:00,596,3,393,51.5122,7.4652
Duisburg,Germany/NRW,2020-04-19T00:00:00,662,9,411,51.4386,6.7566
Düren (Kreis),Germany/NRW,2020-04-19T00:00:00,506,20,288,50.8025,6.4823
Düsseldorf,Germany/NRW,2020-04-19T00:00:00,888,14,562,51.2224, 6.7703
Ennepe-Ruhr-Kreis,Germany/NRW,2020-04-19T00:00:00,357,8,243,51.351,7.306
Essen,Germany/NRW,2020-04-19T00:00:00,677,30,391,51.4587,7.0196
Euskirchen (Kreis),Germany/NRW,2020-04-19T00:00:00,306,9,140,50.6603,6.7861
Gelsenkirchen,Germany/NRW,2020-04-19T00:00:00,279,9,130,51.51,7.0958
Gütersloh (Kreis),Germany/NRW,2020-04-19T00:00:00,570,15,381,51.9045,8.3771
Hagen,Germany/NRW,2020-04-19T00:00:00,199,3,114,51.3546,7.4652
Hamm,Germany/NRW,2020-04-19T00:00:00,383,21,180,51.6768,7.814
Heinsberg (Kreis),Germany/NRW,2020-04-19T00:00:00,1697,58,1253,51.0479,6.0947
Herford (Kreis),Germany/NRW,2020-04-19T00:00:00,302,5,165,52.1158,8.671
Herne,Germany/NRW,2020-04-19T00:00:00,126,1,67,51.5386,7.2221
Hochsauerlandkreis (Kreis),Germany/NRW,2020-04-19T00:00:00,547,13,317,51.3495,8.2823
Höxter,Germany/NRW,2020-04-19T00:00:00,250,2,116,51.7921,9.3459
Kleve (Kreis),Germany/NRW,2020-04-19T00:00:00,475,15,255,51.7846,6.1312
Köln,Germany/NRW,2020-04-19T00:00:00,2130,63,1647,50.9411,6.9543
Krefeld,Germany/NRW,2020-04-19T00:00:00,400,11,271,51.3349,6.5643
Leverkusen,Germany/NRW,2020-04-19T00:00:00,184,3,124,51.0353,6.9804
Lippe (Kreis),Germany/NRW,2020-04-19T00:00:00,614,21,335,51.9358,8.8783
Märkischer Kreis,Germany/NRW,2020-04-19T00:00:00,458,16,191,51.2189,7.6424
Mettmann (Kreis),Germany/NRW,2020-04-19T00:00:00,964,47,552,51.254,6.9756
Minden-Lübbecke (Kreis),Germany/NRW,2020-04-19T00:00:00,393,4,262,52.2934,8.9058
Mönchengladbach,Germany/NRW,2020-04-19T00:00:00,426,24,238,51.1948,6.4243
Mülheim / Ruhr,Germany/NRW,2020-04-19T00:00:00,143,4,95,51.43,6.8781
Münster,Germany/NRW,2020-04-19T00:00:00,633,7,503,51.962,7.6204
Oberbergischer Kreis,Germany/NRW,2020-04-19T00:00:00,406,10,254,51.0224,7.5572
Oberhausen,Germany/NRW,2020-04-19T00:00:00,169,1,86,51.4686,6.8527
Olpe (Kreis),Germany/NRW,2020-04-19T00:00:00,450,16,261,51.0364,7.8841
Paderborn (Kreis),Germany/NRW,2020-04-19T00:00:00,534,23,182,51.7177,8.753
Recklinghausen (Kreis),Germany/NRW,2020-04-19T00:00:00,849,11,531,51.6054,7.2087
Remscheid,Germany/NRW,2020-04-19T00:00:00,196,4,105,51.1828,7.1988
Rhein-Erft-Kreis,Germany/NRW,2020-04-19T00:00:00,868,40,380,50.906,6.746
Rheinisch-Bergischer Kreis,Germany/NRW,2020-04-19T00:00:00,391,9,236,50.9982,7.1288
Rhein-Kreis Neuss,Germany/NRW,2020-04-19T00:00:00,541,15,436,51.135,6.63
Rhein-Sieg-Kreis,Germany/NRW,2020-04-19T00:00:00,1028,28,628,50.7938,7.2077
Siegen-Wittgenstein (Kreis),Germany/NRW,2020-04-19T00:00:00,256,6,105,50.8796,8.0365
Soest (Kreis),Germany/NRW,2020-04-19T00:00:00,330,4,223,51.567,8.113
Solingen,Germany/NRW,2020-04-19T00:00:00,214,3,121,51.1725,7.0779
Steinfurt (Kreis),Germany/NRW,2020-04-19T00:00:00,1077,45,531,52.211,7.592
Unna (Kreis),Germany/NRW,2020-04-19T00:00:00,552,22,253,51.5369,7.6904
Viersen (Kreis),Germany/NRW,2020-04-19T00:00:00,537,22,236,51.2585,6.3858
Warendorf (Kreis),Germany/NRW,2020-04-19T00:00:00,427,8,309,51.965,7.998
Wesel (Kreis),Germany/NRW,2020-04-19T00:00:00,440,14,286,51.6555,6.6165
Wuppertal,Germany/NRW,2020-04-19T00:00:00,708,37,307,51.2628,7.1727
